SalesLT,Address,AddressID,int
SalesLT,Address,AddressLine1,nvarchar
SalesLT,Address,AddressLine2,nvarchar
SalesLT,Address,City,nvarchar
SalesLT,Address,StateProvince,nvarchar
SalesLT,Address,CountryRegion,nvarchar
SalesLT,Address,PostalCode,nvarchar
SalesLT,Address,rowguid,uniqueidentifier
SalesLT,Address,ModifiedDate,datetime
dbo,BuildVersion,SystemInformationID,tinyint
dbo,BuildVersion,Database Version,nvarchar
dbo,BuildVersion,VersionDate,datetime
dbo,BuildVersion,ModifiedDate,datetime
SalesLT,Customer,CustomerID,int
SalesLT,Customer,NameStyle,bit
SalesLT,Customer,Title,nvarchar
SalesLT,Customer,FirstName,nvarchar
SalesLT,Customer,MiddleName,nvarchar
SalesLT,Customer,LastName,nvarchar
SalesLT,Customer,Suffix,nvarchar
SalesLT,Customer,CompanyName,nvarchar
SalesLT,Customer,SalesPerson,nvarchar
SalesLT,Customer,EmailAddress,nvarchar
SalesLT,Customer,Phone,nvarchar
SalesLT,Customer,PasswordHash,varchar
SalesLT,Customer,PasswordSalt,varchar
SalesLT,Customer,rowguid,uniqueidentifier
SalesLT,Customer,ModifiedDate,datetime
SalesLT,CustomerAddress,CustomerID,int
SalesLT,CustomerAddress,AddressID,int
SalesLT,CustomerAddress,AddressType,nvarchar
SalesLT,CustomerAddress,rowguid,uniqueidentifier
SalesLT,CustomerAddress,ModifiedDate,datetime
dbo,ErrorLog,ErrorLogID,int
dbo,ErrorLog,ErrorTime,datetime
dbo,ErrorLog,UserName,nvarchar
dbo,ErrorLog,ErrorNumber,int
dbo,ErrorLog,ErrorSeverity,int
dbo,ErrorLog,ErrorState,int
dbo,ErrorLog,ErrorProcedure,nvarchar
dbo,ErrorLog,ErrorLine,int
dbo,ErrorLog,ErrorMessage,nvarchar
SalesLT,Product,ProductID,int
SalesLT,Product,Name,nvarchar
SalesLT,Product,ProductNumber,nvarchar
SalesLT,Product,Color,nvarchar
SalesLT,Product,StandardCost,money
SalesLT,Product,ListPrice,money
SalesLT,Product,Size,nvarchar
SalesLT,Product,Weight,decimal
SalesLT,Product,ProductCategoryID,int
SalesLT,Product,ProductModelID,int
SalesLT,Product,SellStartDate,datetime
SalesLT,Product,SellEndDate,datetime
SalesLT,Product,DiscontinuedDate,datetime
SalesLT,Product,ThumbNailPhoto,varbinary
SalesLT,Product,ThumbnailPhotoFileName,nvarchar
